checked_out_on,library_card,accession
5/10/2012 13:05:10,0110,30033518
5/10/2012 13:08:08,0070,30092092
5/10/2012 13:08:36,0117,30051221
5/10/2012 13:09:18,0155,30005854
5/10/2012 13:09:32,0130,30007694
5/10/2012 13:10:23,0085,30038517
5/10/2012 13:11:22,0149,30106025
5/10/2012 13:11:31,0149,30114391
5/10/2012 13:14:41,0075,30065247
5/10/2012 13:15:05,0075,30065247
5/10/2012 13:16:05,0175,30138721
5/10/2012 13:16:49,0105,30058952
5/10/2012 13:20:06,0180,30065650
5/10/2012 13:20:12,0180,30065650
5/10/2012 13:20:12,0180,30065650
5/10/2012 13:20:12,0180,30065650
5/10/2012 13:20:12,0180,30065650
5/10/2012 13:22:09,0066,30139034
5/10/2012 13:28:03,0097,30135644
5/10/2012 13:28:20,0097,30022073
5/10/2012 13:28:40,0108,30123681
5/10/2012 13:28:55,0108,30009518
5/10/2012 13:29:03,0108,30137418
5/10/2012 13:46:12,0128,30132583
5/10/2012 13:46:25,0128,30132583
5/10/2012 13:51:00,0163,30059406
5/10/2012 13:51:04,0163,30059406
5/10/2012 14:04:44,0123,30091698
5/10/2012 14:04:55,0123,30091979
5/10/2012 14:05:05,0123,30074058
5/10/2012 14:08:33,0129,30092951
5/10/2012 14:08:48,0166,30121123
5/10/2012 14:12:46,0142,30093207
5/10/2012 14:40:22,0153,30099493
5/11/2012 9:25:56,0094,30110555
5/11/2012 9:26:02,0094,30110555
5/11/2012 9:26:18,0094,30077689
5/11/2012 9:26:27,0094,30119457
5/11/2012 11:39:16,0038,30039325
5/11/2012 14:07:51,0013,30134282
5/11/2012 14:09:27,0020,30065981
5/11/2012 14:11:50,0055,20832135
5/11/2012 14:15:45,0038,30104590
5/11/2012 14:15:59,0019,18991109
5/11/2012 14:16:07,0019,30126650
5/11/2012 14:16:14,0019,22223382
5/11/2012 14:16:27,0016,30036453
5/11/2012 14:16:43,0016,30034730
5/11/2012 14:16:59,0016,30015770
5/11/2012 14:17:21,0034,30027957
5/11/2012 14:17:39,0017,19878255
5/14/2012 10:35:32,0071,30033484
5/14/2012 11:06:44,0146,30139562
5/14/2012 11:06:49,0146,30139562
5/14/2012 11:31:56,0198,30082184
5/14/2012 11:32:12,0198,22226351
5/14/2012 11:32:27,0198,30003032
5/14/2012 11:32:33,0198,30006639
5/14/2012 11:32:41,0198,30140313
5/14/2012 11:32:47,0198,30129464
5/14/2012 11:32:54,0198,30078281
5/14/2012 11:33:03,0198,30046221
5/14/2012 11:33:10,0198,30004477
5/14/2012 11:33:24,0198,30092654
5/14/2012 11:33:30,0198,30060842
5/14/2012 11:33:38,0198,30086458
5/14/2012 11:33:45,0198,30086128
5/14/2012 11:33:55,0198,19000496
5/14/2012 11:34:03,0198,30138135
5/14/2012 11:34:11,0198,30075071
5/14/2012 11:34:32,0198,30053789
5/14/2012 11:34:42,0198,30134084
5/14/2012 11:34:49,0198,30129944
5/14/2012 11:34:57,0198,22229074
5/14/2012 11:35:05,0198,30121156
5/14/2012 11:35:13,0198,22229025
5/14/2012 11:35:25,0198,30086961
5/14/2012 11:35:35,0198,19000892
5/14/2012 11:35:42,0198,30034102
5/14/2012 11:35:54,0198,30036826
5/14/2012 11:36:02,0198,30119358
5/14/2012 11:36:13,0198,30076491
5/14/2012 11:36:27,0198,30137293
5/14/2012 11:36:40,0198,30073571
5/14/2012 11:36:50,0198,18993527
5/14/2012 11:37:04,0198,30058820
5/14/2012 11:37:13,0198,30135057
5/14/2012 11:37:27,0198,30010169
5/14/2012 11:37:35,0198,18993600
5/14/2012 11:37:44,0198,30128391
5/14/2012 11:37:55,0198,30001689
5/14/2012 11:38:05,0198,30132013
5/14/2012 12:06:48,0228,30137483
5/14/2012 12:38:43,0024,30138499
5/14/2012 12:41:18,0088,30080238
5/14/2012 12:41:24,0088,30100838
5/14/2012 12:41:33,0088,30111058
5/14/2012 12:43:29,0070,30136436
5/14/2012 12:43:49,0070,30093124
5/14/2012 12:44:17,0086,30052625
5/14/2012 12:46:31,0003,30080469
5/14/2012 12:46:56,0071,30078240
5/14/2012 12:48:59,0054,30121305
5/14/2012 12:49:05,0054,30138804
5/14/2012 12:50:20,0038,30002380
5/14/2012 13:02:37,0015,30114086
5/14/2012 13:06:20,0087,22230569
5/14/2012 13:11:24,0085,30131494
5/14/2012 13:11:54,0095,30027940
5/14/2012 13:11:55,0095,30027940
5/14/2012 13:13:50,0068,30123392
5/14/2012 13:14:39,0076,30106504
5/14/2012 13:39:25,0113,30042725
5/14/2012 14:08:20,0080,30049829
5/14/2012 14:08:26,0080,30049829
5/14/2012 14:08:26,0080,30016547
5/14/2012 14:11:29,0062,30135974
5/14/2012 14:13:29,0082,30070338
5/14/2012 14:14:48,0083,30078703
5/14/2012 14:15:03,0083,30060800
5/14/2012 14:17:05,0082,30094866
5/14/2012 14:17:24,0037,18995548
5/14/2012 14:17:37,0103,30129605
5/14/2012 14:17:44,0103,30083315
5/14/2012 14:17:51,0103,30083406
5/14/2012 14:17:57,0103,30031090
5/14/2012 14:18:48,0102,30094353
5/14/2012 14:19:25,0057,30121503
5/14/2012 14:29:54,0198,18994327
5/14/2012 14:30:06,0198,30047245
5/15/2012 8:42:52,0227,30130744
5/15/2012 8:43:06,0227,30130744
5/15/2012 8:44:07,0063,30083414
5/15/2012 8:44:29,0063,30083414
5/15/2012 8:44:40,0063,30083414
5/15/2012 8:44:40,0063,30083414
5/15/2012 8:45:02,0063,30013130
5/15/2012 8:45:18,0063,30065692
5/15/2012 8:45:57,0063,30053656
5/15/2012 11:10:56,0023,30118517
5/15/2012 11:41:15,0043,30136386
5/15/2012 11:41:27,0041,30106124
5/15/2012 12:45:53,0094,30132765
5/15/2012 12:46:05,0094,30116560
5/15/2012 12:46:11,0094,30121586
5/15/2012 12:46:58,0115,30094437
5/15/2012 12:48:24,0095,30121719
5/15/2012 12:49:43,0095,30127088
5/15/2012 12:50:22,0018,30109490
5/15/2012 12:51:23,0068,30082275
5/15/2012 12:53:46,0004,30023964
5/15/2012 12:54:01,0004,30070171
5/15/2012 12:57:04,0064,30073712
5/15/2012 13:01:55,0006,19000355
5/15/2012 13:02:11,0006,30124820
5/15/2012 13:02:49,0043,19000900
5/15/2012 13:02:58,0043,30082788
5/15/2012 13:09:53,0072,30085500
5/15/2012 13:54:30,0129,30123996
5/15/2012 13:54:45,0166,30121438
5/15/2012 13:57:56,0167,30004139
5/15/2012 13:57:59,0167,30004139
