checked_in_on,accession
4/30/2012 11:21:02,30124044
4/26/2012 14:47:39,30124051
4/30/2012 11:18:00,30124150
4/26/2012 14:47:20,30124499
5/1/2012 13:10:35,30124820
4/26/2012 12:44:54,30124960
4/25/2012 14:51:30,30125918
5/9/2012 14:48:34,30125934
5/1/2012 13:09:45,30126031
5/1/2012 13:10:04,30126098
4/26/2012 14:45:11,30126387
4/26/2012 14:45:11,30126445
5/10/2012 14:52:05,30126569
4/30/2012 11:21:31,30126650
5/1/2012 9:00:22,30126817
4/30/2012 11:25:08,30127229
5/9/2012 14:54:41,30127518
5/9/2012 14:54:17,30127518
5/10/2012 14:49:16,30127682
5/2/2012 15:27:17,30128490
5/8/2012 14:56:23,30128573
4/30/2012 14:47:09,30128854
4/30/2012 14:47:09,30128953
4/30/2012 11:21:31,30129019
4/30/2012 14:47:09,30129076
5/1/2012 8:52:47,30129613
5/1/2012 8:52:52,30129613
5/1/2012 8:52:53,30129613
5/3/2012 14:52:40,30129886
4/25/2012 13:30:56,30129928
5/1/2012 14:52:09,30130025
4/25/2012 14:53:41,30130173
4/30/2012 16:00:43,30130231
4/30/2012 16:00:46,30130231
5/2/2012 14:51:21,30130306
5/9/2012 14:49:40,30130306
4/25/2012 14:50:54,30130462
4/25/2012 13:30:56,30130637
5/10/2012 14:51:13,30130744
5/3/2012 14:51:15,30130934
5/4/2012 14:03:06,30131320
4/26/2012 14:47:39,30131379
5/9/2012 14:51:23,30131494
5/3/2012 14:49:41,30131528
5/2/2012 14:50:00,30131544
5/10/2012 14:49:44,30131544
4/30/2012 11:22:31,30131650
5/9/2012 11:24:37,30131718
5/1/2012 13:09:45,30131767
4/30/2012 11:18:00,30131791
5/10/2012 12:12:02,30131841
5/1/2012 13:11:50,30131890
5/9/2012 14:50:50,30132849
5/9/2012 14:53:25,30133045
5/1/2012 9:00:48,30133136
4/25/2012 14:52:33,30133144
4/25/2012 14:52:33,30133144
4/26/2012 14:47:39,30133193
4/26/2012 14:48:24,30133227
5/9/2012 14:53:49,30133359
5/9/2012 14:55:25,30133557
5/11/2012 10:04:32,30133599
5/10/2012 14:49:16,30133599
5/1/2012 13:10:04,30133615
5/1/2012 14:50:54,30133649
5/10/2012 14:52:26,30133961
5/9/2012 14:50:26,30134001
5/1/2012 14:52:09,30134183
5/10/2012 14:49:16,30134183
5/9/2012 14:54:01,30134282
5/3/2012 11:53:21,30134282
5/10/2012 14:49:44,30134290
5/11/2012 10:04:32,30134290
5/1/2012 14:52:40,30134449
4/26/2012 14:45:11,30134704
4/30/2012 14:47:43,30135040
5/9/2012 11:24:02,30135065
5/4/2012 14:48:51,30135396
5/4/2012 14:49:08,30135396
5/9/2012 11:24:02,30135412
5/9/2012 14:51:23,30135644
4/26/2012 12:44:54,30135644
5/4/2012 14:51:13,30135677
5/1/2012 8:54:13,30135792
5/11/2012 10:04:32,30135792
5/8/2012 14:54:29,30136139
5/3/2012 14:52:40,30136386
4/30/2012 11:19:08,30136501
5/4/2012 14:51:13,30136550
5/1/2012 9:00:48,30136576
5/1/2012 14:53:06,30136576
5/1/2012 14:53:06,30136576
5/1/2012 13:10:04,30136634
5/8/2012 14:57:00,30136709
5/8/2012 14:57:00,30136709
5/3/2012 14:51:42,30136717
5/3/2012 14:50:33,30136899
4/25/2012 14:53:15,30137004
5/8/2012 14:54:29,30137079
5/1/2012 13:10:04,30137079
5/10/2012 13:14:05,30137079
5/10/2012 14:52:05,30137079
5/8/2012 14:03:27,30137079
5/8/2012 14:03:31,30137079
5/1/2012 13:10:35,30137285
4/25/2012 14:52:53,30137418
4/26/2012 14:44:45,30137483
5/2/2012 14:50:25,30137681
5/2/2012 14:50:25,30137749
5/9/2012 14:49:40,30137806
5/9/2012 14:49:40,30137863
5/3/2012 14:52:40,30137954
4/26/2012 14:49:37,30138036
5/3/2012 14:50:08,30138077
5/1/2012 8:54:13,30138184
5/9/2012 14:51:06,30138499
4/30/2012 11:21:02,30138531
5/9/2012 14:54:41,30138556
5/4/2012 14:50:49,30138697
5/10/2012 14:52:26,30138721
5/1/2012 14:52:09,30138747
5/1/2012 14:52:09,30138747
4/26/2012 12:44:54,30138754
5/10/2012 14:51:13,30138861
5/3/2012 14:51:15,30138879
4/30/2012 11:25:21,30138937
5/1/2012 10:50:32,30138937
5/10/2012 14:52:05,30138952
5/3/2012 14:48:44,30139034
4/30/2012 11:25:08,30139125
5/3/2012 14:52:05,30139133
5/9/2012 14:56:57,30139224
5/9/2012 14:56:57,30139224
5/9/2012 14:56:57,30139224
5/9/2012 14:56:57,30139224
5/9/2012 14:56:57,30139224
5/8/2012 14:56:03,30139281
4/30/2012 11:22:31,30139331
5/1/2012 14:50:54,30139331
4/30/2012 11:21:02,30139398
4/30/2012 11:19:08,30139398
5/4/2012 14:51:42,30139471
4/30/2012 11:19:08,30139497
4/30/2012 11:22:31,30139539
5/1/2012 8:59:23,30139562
4/26/2012 14:47:39,30139570
5/9/2012 14:55:25,30139646
5/3/2012 14:51:42,30139653
4/25/2012 13:30:56,30139695
4/30/2012 14:12:59,30139695
5/1/2012 13:08:37,30139786
5/8/2012 14:57:43,30139810
4/25/2012 14:52:53,30139844
5/10/2012 14:52:05,30140099
5/3/2012 14:49:15,43574946
5/4/2012 14:49:08,30078323
5/4/2012 14:52:57,30012421
5/4/2012 14:52:56,30012421
5/2/2012 14:50:25,30137749
5/1/2012 14:52:09,30138747
5/11/2012 14:47:43,30040083
5/11/2012 14:48:27,30106132
5/11/2012 14:49:06,30003990
5/14/2012 14:50:56,30134381
5/14/2012 14:51:25,30123392
5/14/2012 14:52:08,30005854
5/14/2012 14:52:44,30121917
5/14/2012 14:53:03,30135644
5/14/2012 14:53:36,30094353
5/14/2012 14:53:55,30134191
5/14/2012 14:54:45,30108971
5/14/2012 14:55:04,30126015
5/15/2012 11:10:19,30118517
5/15/2012 14:56:42,30123996
