Timestamp,Library Card Number,Accession Number
2/2/2012 12:13:42,0030,30065429
1/26/2012 12:17:53,0030,30073159
3/15/2012 11:19:21,0030,30075253
3/15/2012 11:19:14,0030,30076822
3/15/2012 11:19:38,0030,30077671
3/8/2012 12:21:57,0030,30115117
2/2/2012 12:06:41,0030,30116032
2/9/2012 12:16:20,0030,30123855
3/8/2012 12:22:03,0030,30131106
2/9/2012 12:14:55,0031,30033393
2/9/2012 12:15:12,0031,30055164
2/23/2012 12:51:35,0031,30061170
3/15/2012 11:13:51,0031,30099675
2/16/2012 12:08:56,0032,22231252
3/8/2012 12:18:18,0032,30109227
2/22/2012 14:07:44,0033,30019053
2/10/2012 15:08:38,0033,30070726
1/27/2012 15:20:42,0033,30121180
2/22/2012 14:17:21,0034,18991935
3/15/2012 12:47:40,0034,19873801
3/15/2012 12:48:13,0034,30022743
3/15/2012 12:48:03,0034,30031041
2/2/2012 15:13:13,0034,30053581
3/14/2012 14:07:03,0034,30079032
2/22/2012 14:17:31,0034,30080659
1/26/2012 13:59:04,0034,30081210
1/26/2012 13:59:42,0034,30081210
2/10/2012 15:34:52,0034,30083398
2/10/2012 15:35:13,0034,30083398
1/27/2012 15:07:54,0034,30096523
1/27/2012 15:24:16,0034,30119739
2/3/2012 15:10:35,0034,30119788
2/10/2012 15:35:55,0034,30119788
2/17/2012 15:13:21,0034,30119788
3/2/2012 15:14:20,0034,30121859
3/16/2012 14:10:36,0034,30123020
3/16/2012 14:10:49,0034,30123020
1/27/2012 15:20:54,0034,30124291
2/17/2012 15:07:50,0034,30126759
3/9/2012 15:13:29,0034,30132724
3/9/2012 15:13:40,0034,30133029
3/9/2012 15:13:59,0034,30133227
2/17/2012 15:15:22,0034,30134613
2/17/2012 15:13:33,0035,30055271
2/17/2012 15:19:48,0035,30055271
2/17/2012 15:19:41,0035,30107296
3/2/2012 15:02:22,0036,30025811
3/16/2012 14:14:50,0036,30038368
3/16/2012 11:57:09,0036,30078133
2/17/2012 15:14:36,0036,30116081
2/17/2012 15:14:10,0036,30120265
3/16/2012 14:14:28,0036,30122337
1/27/2012 15:19:36,0036,30131767
2/10/2012 15:11:13,0036,30133144
2/10/2012 15:07:34,0036,30133417
2/24/2012 15:05:39,0036,30134290
1/30/2012 15:22:12,0037,30078810
2/13/2012 15:15:27,0037,30086102
2/13/2012 15:15:17,0037,30086169
2/6/2012 15:14:31,0037,30087399
1/30/2012 15:22:21,0037,30116016
1/31/2012 11:29:07,0037,30124317
1/18/2012 14:04:58,0037,30121503
1/18/2012 14:05:09,0037,30126247
3/16/2012 14:17:27,0038,19874528
2/3/2012 15:20:20,0038,19874916
3/16/2012 14:17:42,0038,19874999
3/2/2012 15:10:41,0038,22226823
2/16/2012 13:51:05,0038,30031090
3/16/2012 14:16:14,0038,30052401
2/15/2012 13:51:36,0038,30062038
3/7/2012 13:51:32,0038,30070155
1/26/2012 13:42:59,0038,30096713
1/27/2012 15:23:22,0038,30110498
3/9/2012 15:12:25,0038,30135727
1/26/2012 14:05:16,0039,19885144
1/26/2012 14:04:49,0039,22224497
2/16/2012 13:51:22,0039,30001713
1/26/2012 14:05:21,0039,30010672
1/26/2012 14:05:10,0039,30013544
1/26/2012 14:05:30,0039,30032916
1/26/2012 14:04:22,0039,30079990
1/26/2012 14:05:01,0039,30095079
1/26/2012 14:05:38,0039,30100754
3/15/2012 10:29:52,0039,30113278
2/6/2012 13:41:14,0040,18995431
2/21/2012 13:51:59,0040,22228035
2/21/2012 13:55:26,0040,22234827
1/30/2012 13:38:38,0040,30115349
2/6/2012 13:40:29,0040,30121446
3/5/2012 14:05:30,0040,00240009
2/29/2012 13:54:50,0041,19880566
1/25/2012 13:51:28,0041,22231682
1/25/2012 13:57:48,0041,22232797
2/15/2012 13:56:31,0041,30034615
2/15/2012 13:39:07,0041,30056592
2/22/2012 13:59:35,0041,30108666
2/8/2012 14:00:03,0041,30109011
2/8/2012 13:53:26,0041,30110225
3/14/2012 13:08:34,0041,30116362
3/7/2012 13:54:32,0041,30118137
2/15/2012 14:02:28,0041,30126825
1/25/2012 13:51:12,0041,30127179
3/7/2012 14:02:42,0041,30131320
3/7/2012 13:54:18,0041,30137111
3/14/2012 13:19:49,0041,30138481
1/26/2012 14:02:13,0042,19874486
1/26/2012 14:03:43,0042,19874528
1/26/2012 14:03:33,0042,19874999
1/26/2012 14:03:03,0042,19875079
1/26/2012 14:02:46,0042,19875152
2/9/2012 14:03:24,0042,19882414
2/23/2012 13:38:09,0042,19883727
1/26/2012 14:03:20,0042,22217954
1/26/2012 14:03:59,0042,30006118
2/9/2012 14:03:18,0042,30013106
3/15/2012 12:58:45,0042,30028088
2/16/2012 14:06:44,0042,30114151
3/1/2012 14:01:47,0042,30118871
2/2/2012 13:57:05,0042,30122725
2/23/2012 13:47:33,0042,30125488
2/23/2012 13:47:35,0042,30125488
2/14/2012 13:42:23,0043,19878149
2/14/2012 13:48:56,0043,19880194
2/9/2012 11:20:10,0043,19885540
2/14/2012 14:03:06,0043,22227714
2/28/2012 14:06:50,0043,30018873
1/24/2012 13:59:00,0043,30023048
3/13/2012 12:50:55,0043,30039978
1/24/2012 13:59:18,0043,30065296
2/9/2012 11:19:35,0043,30083497
3/13/2012 12:50:13,0043,30085914
2/28/2012 14:06:35,0043,30124887
3/13/2012 12:49:27,0043,30135727
2/7/2012 14:00:09,0043,30136386
2/22/2012 13:54:25,0044,19003920
2/29/2012 14:01:01,0044,30108757
2/22/2012 13:54:00,0044,30116776
1/25/2012 13:59:04,0044,30125975
2/15/2012 13:53:58,0044,30134324
1/25/2012 13:48:33,0044,30136147
3/14/2012 13:10:00,0044,30136865
2/22/2012 13:54:42,0044,30137715
2/16/2012 12:13:05,0045,30034698
2/16/2012 12:04:30,0045,30038350
3/15/2012 11:11:14,0045,30082176
2/2/2012 12:14:31,0045,30116362
2/2/2012 12:05:26,0045,30117816
1/26/2012 12:18:32,0045,30125819
2/23/2012 12:10:47,0046,30021968
2/2/2012 12:08:39,0046,30059059
2/16/2012 12:05:56,0046,30060743
1/26/2012 12:24:41,0046,30065791
2/9/2012 12:13:10,0046,30078372
3/15/2012 11:09:14,0046,30083232
1/26/2012 12:24:23,0046,30095285
2/16/2012 12:11:08,0046,30122592
2/2/2012 12:08:28,0046,30126320
3/8/2012 12:10:15,0046,30129605
2/23/2012 12:10:57,0046,30133839
2/23/2012 12:10:58,0046,30133839
2/9/2012 12:10:34,0046,30136212
3/15/2012 11:08:58,0046,30136626
3/15/2012 11:18:05,0047,19880681
3/15/2012 11:18:38,0047,22232961
3/15/2012 11:18:32,0047,30016448
3/8/2012 12:21:34,0047,30020119
1/26/2012 12:23:05,0047,30023022
2/2/2012 12:10:30,0047,30052682
3/8/2012 12:21:23,0047,30078612
2/9/2012 12:11:47,0047,30078679
2/16/2012 12:12:34,0047,30105852
2/23/2012 12:16:06,0047,30113542
2/2/2012 12:10:38,0047,30116073
1/26/2012 12:23:14,0047,30129019
2/2/2012 12:10:57,0048,18993295
2/16/2012 12:13:24,0048,30027791
1/26/2012 12:20:20,0048,30039325
2/2/2012 12:10:00,0048,30043889
2/9/2012 12:11:27,0048,30050389
3/15/2012 11:19:01,0048,30064224
2/2/2012 12:06:11,0048,30065338
3/5/2012 12:36:08,0048,30072839
3/8/2012 12:22:13,0048,30083877
1/26/2012 12:16:11,0048,30092175
3/5/2012 12:35:55,0048,30099543
2/2/2012 12:08:57,0048,30110563
3/5/2012 12:36:16,0048,30122097
2/9/2012 12:17:34,0048,30124150
3/15/2012 11:11:44,0048,30128003
2/23/2012 12:19:14,0048,30131791
2/2/2012 12:15:00,0049,19003755
3/15/2012 11:17:20,0049,19885466
2/23/2012 12:13:33,0049,22218473
3/15/2012 11:16:40,0049,30029771
1/26/2012 12:19:04,0049,30059273
3/15/2012 11:17:25,0049,30073183
3/15/2012 11:16:58,0049,30124028
2/9/2012 12:13:57,0049,30133102
3/8/2012 12:22:27,0050,19003664
3/8/2012 12:11:30,0050,19876952
3/15/2012 11:15:40,0050,19877216
3/8/2012 12:11:04,0050,19882356
2/9/2012 12:13:37,0050,19883396
3/8/2012 12:11:20,0050,30010417
3/8/2012 12:22:52,0050,30034011
3/15/2012 11:16:10,0050,30054951
2/16/2012 12:12:12,0050,30060859
2/9/2012 12:13:29,0050,30073753
3/5/2012 13:06:49,0050,30106389
2/1/2012 11:31:31,0050,30108633
1/26/2012 12:22:25,0050,30109029
2/1/2012 11:31:14,0050,30110928
2/2/2012 12:17:57,0050,30110985
1/26/2012 12:22:08,0050,30116776
2/2/2012 12:18:08,0050,30118939
2/16/2012 12:08:21,0050,30119275
3/13/2012 12:27:15,0050,30135040
2/10/2012 15:21:24,0051,30124044
1/13/2012 15:23:17,0051,30033427
2/2/2012 13:33:07,0052,18993923
2/2/2012 13:33:24,0052,18994004
1/27/2012 15:15:52,0052,18998450
2/3/2012 15:14:56,0052,19875251
2/7/2012 11:34:03,0052,30033997
2/17/2012 15:16:33,0052,30063028
2/24/2012 15:17:52,0052,30071245
2/24/2012 15:15:51,0052,30082291
2/3/2012 15:15:21,0052,30103113
1/26/2012 14:14:40,0052,30106199
1/26/2012 14:13:28,0052,30108054
2/17/2012 15:16:51,0052,30113179
3/16/2012 14:11:40,0052,30113427
2/7/2012 11:34:13,0052,30117956
1/27/2012 15:15:23,0052,30119325
2/2/2012 13:33:16,0052,30123327
3/9/2012 15:03:49,0052,30126452
2/10/2012 15:26:39,0052,30127898
2/10/2012 15:26:24,0052,30128011
2/10/2012 15:26:03,0052,30128078
2/10/2012 15:26:14,0052,30128136
2/14/2012 10:45:13,0052,30131080
3/16/2012 14:11:25,0052,30132765
2/3/2012 15:15:32,0052,30134811
2/22/2012 14:02:11,0053,30004139
2/10/2012 15:22:12,0053,30025811
2/3/2012 15:17:21,0053,30077630
2/22/2012 14:02:22,0053,30126452
2/3/2012 15:17:40,0053,30133144
2/17/2012 15:19:59,0054,30027262
2/16/2012 14:10:28,0054,30049670
2/3/2012 15:41:55,0054,30059125
2/14/2012 10:03:27,0054,30059422
2/17/2012 15:20:10,0054,30074157
2/14/2012 10:03:18,0054,30078737
3/12/2012 12:09:09,0054,30082366
2/14/2012 10:02:54,0054,30126999
3/14/2012 13:58:24,0055,22221196
1/26/2012 14:09:47,0055,22231252
3/14/2012 9:02:05,0055,30022081
3/2/2012 15:13:56,0055,30030597
1/26/2012 14:10:15,0055,30047955
1/27/2012 15:14:31,0055,30070726
2/24/2012 15:17:35,0055,30082572
3/9/2012 15:17:57,0055,30095574
3/9/2012 15:18:38,0055,30095574
2/17/2012 15:15:49,0055,30108468
2/10/2012 15:11:57,0055,30111306
2/3/2012 15:15:58,0055,30120059
3/16/2012 14:15:25,0055,30121370
1/26/2012 14:10:24,0055,30128441
3/14/2012 13:58:44,0055,30135347
2/22/2012 13:40:36,0055,30136576
2/2/2012 15:10:39,0055,30136949
1/20/2012 15:09:10,0055,30121610
1/4/2012 13:46:33,0055,30123715
3/15/2012 12:15:38,0056,18992396
3/7/2012 14:17:49,0056,22216410
1/27/2012 15:16:01,0056,22234793
2/22/2012 14:00:07,0056,30097547
3/9/2012 15:03:38,0056,30131429
2/6/2012 15:19:52,0057,30003321
2/6/2012 15:20:00,0057,30003321
3/12/2012 14:11:35,0057,30086227
2/8/2012 11:26:15,0058,30026462
2/8/2012 11:21:50,0058,30037162
2/8/2012 11:25:39,0058,30068324
2/8/2012 11:25:58,0058,30109201
1/30/2012 15:22:45,0058,30131643
1/30/2012 15:16:39,0058,30132872
1/30/2012 15:16:05,0059,19004662
1/30/2012 15:15:45,0059,19004985
1/30/2012 15:16:20,0059,30012181
2/27/2012 15:10:54,0059,30055263
2/27/2012 15:11:05,0059,30055420
3/5/2012 15:13:54,0059,30078216
2/6/2012 15:12:21,0059,30118194
3/5/2012 15:13:38,0059,30119630
2/6/2012 15:12:33,0059,30121479
2/6/2012 15:12:40,0059,30123277
3/12/2012 14:13:04,0059,30124879
1/31/2012 11:33:56,0060,30078810
2/8/2012 11:25:10,0060,30126387
2/6/2012 15:11:47,0060,30126445
2/27/2012 15:12:29,0060,30133961
2/7/2012 11:15:12,0060,30135412
2/6/2012 15:49:14,0061,30055164
1/30/2012 15:12:16,0061,30078216
3/12/2012 12:44:28,0063,30138937
2/1/2012 14:54:36,0065,30111397
2/16/2012 13:56:42,0065,30115455
2/16/2012 13:56:51,0065,30115455
3/16/2012 13:50:51,0065,30132443
